Frame index, Frame time (ms), DLSS-G Frame Duration (ms), CPU memory (MB), GPU memory (MB)
460, 8.53, 8.53, 0.00, 0.00
461, 8.35, 8.35, 0.00, 0.00
462, 8.82, 8.82, 0.00, 0.00
463, 8.26, 8.26, 0.00, 0.00
464, 8.90, 8.90, 0.00, 0.00
465, 8.17, 8.17, 0.00, 0.00
466, 8.88, 8.88, 0.00, 0.00
467, 8.47, 8.47, 0.00, 0.00
468, 8.82, 8.82, 0.00, 0.00
469, 8.24, 8.24, 0.00, 0.00
470, 8.69, 8.69, 0.00, 0.00
471, 8.84, 8.84, 0.00, 0.00
472, 8.82, 8.82, 0.00, 0.00
473, 8.40, 8.40, 0.00, 0.00
474, 9.32, 9.32, 0.00, 0.00
475, 8.26, 8.26, 0.00, 0.00
476, 8.87, 8.87, 0.00, 0.00
477, 8.22, 8.22, 0.00, 0.00
478, 8.85, 8.85, 0.00, 0.00
479, 8.79, 8.79, 0.00, 0.00
480, 8.70, 8.70, 0.00, 0.00
481, 8.33, 8.33, 0.00, 0.00
482, 8.87, 8.87, 0.00, 0.00
483, 8.27, 8.27, 0.00, 0.00
484, 8.60, 8.60, 0.00, 0.00
485, 8.55, 8.55, 0.00, 0.00
486, 9.00, 9.00, 0.00, 0.00
487, 8.58, 8.58, 0.00, 0.00
488, 8.43, 8.43, 0.00, 0.00
489, 8.73, 8.73, 0.00, 0.00
490, 8.72, 8.72, 0.00, 0.00
491, 8.26, 8.26, 0.00, 0.00
492, 8.68, 8.68, 0.00, 0.00
493, 8.23, 8.23, 0.00, 0.00
494, 8.86, 8.86, 0.00, 0.00
495, 8.36, 8.36, 0.00, 0.00
496, 8.62, 8.62, 0.00, 0.00
497, 9.26, 9.26, 0.00, 0.00
498, 8.88, 8.88, 0.00, 0.00
499, 8.01, 8.01, 0.00, 0.00
500, 8.70, 8.70, 0.00, 0.00
501, 8.12, 8.12, 0.00, 0.00
502, 8.55, 8.55, 0.00, 0.00
503, 8.54, 8.54, 0.00, 0.00
504, 8.34, 8.34, 0.00, 0.00
505, 8.31, 8.31, 0.00, 0.00
506, 8.62, 8.62, 0.00, 0.00
507, 8.05, 8.05, 0.00, 0.00
508, 8.50, 8.50, 0.00, 0.00
509, 7.98, 7.98, 0.00, 0.00
510, 8.45, 8.45, 0.00, 0.00
511, 8.14, 8.14, 0.00, 0.00
512, 8.05, 8.05, 0.00, 0.00
513, 8.64, 8.64, 0.00, 0.00
514, 8.08, 8.08, 0.00, 0.00
515, 8.19, 8.19, 0.00, 0.00
516, 8.35, 8.35, 0.00, 0.00
517, 8.11, 8.11, 0.00, 0.00
518, 8.34, 8.34, 0.00, 0.00
519, 8.03, 8.03, 0.00, 0.00
520, 8.46, 8.46, 0.00, 0.00
521, 8.14, 8.14, 0.00, 0.00
522, 8.63, 8.63, 0.00, 0.00
523, 8.35, 8.35, 0.00, 0.00
524, 7.79, 7.79, 0.00, 0.00
525, 8.85, 8.85, 0.00, 0.00
526, 8.09, 8.09, 0.00, 0.00
527, 8.64, 8.64, 0.00, 0.00
528, 7.99, 7.99, 0.00, 0.00
529, 9.07, 9.07, 0.00, 0.00
530, 7.85, 7.85, 0.00, 0.00
531, 8.28, 8.28, 0.00, 0.00
532, 8.39, 8.39, 0.00, 0.00
533, 8.26, 8.26, 0.00, 0.00
534, 8.40, 8.40, 0.00, 0.00
535, 8.57, 8.57, 0.00, 0.00
536, 8.25, 8.25, 0.00, 0.00
537, 8.73, 8.73, 0.00, 0.00
538, 8.71, 8.71, 0.00, 0.00
539, 8.20, 8.20, 0.00, 0.00
540, 8.46, 8.46, 0.00, 0.00
541, 8.91, 8.91, 0.00, 0.00
542, 8.28, 8.28, 0.00, 0.00
543, 8.82, 8.82, 0.00, 0.00
544, 8.79, 8.79, 0.00, 0.00
545, 8.05, 8.05, 0.00, 0.00
546, 8.96, 8.96, 0.00, 0.00
547, 8.40, 8.40, 0.00, 0.00
548, 8.43, 8.43, 0.00, 0.00
549, 8.70, 8.70, 0.00, 0.00
550, 9.08, 9.08, 0.00, 0.00
551, 8.31, 8.31, 0.00, 0.00
552, 8.58, 8.58, 0.00, 0.00
553, 9.16, 9.16, 0.00, 0.00
554, 8.27, 8.27, 0.00, 0.00
555, 8.66, 8.66, 0.00, 0.00
556, 8.59, 8.59, 0.00, 0.00
557, 9.07, 9.07, 0.00, 0.00
558, 8.33, 8.33, 0.00, 0.00
559, 8.80, 8.80, 0.00, 0.00
560, 8.80, 8.80, 0.00, 0.00
561, 8.16, 8.16, 0.00, 0.00
562, 8.61, 8.61, 0.00, 0.00
563, 8.56, 8.56, 0.00, 0.00
564, 8.72, 8.72, 0.00, 0.00
565, 8.17, 8.17, 0.00, 0.00
566, 8.35, 8.35, 0.00, 0.00
567, 9.05, 9.05, 0.00, 0.00
568, 8.35, 8.35, 0.00, 0.00
569, 7.55, 7.55, 0.00, 0.00
570, 8.83, 8.83, 0.00, 0.00
571, 8.44, 8.44, 0.00, 0.00
572, 7.79, 7.79, 0.00, 0.00
573, 8.50, 8.50, 0.00, 0.00
